variable_id,variable_name,event,characteristic,source,type,un_id,output_id,output_id_old,output_name,output_status
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_3_01,T3.1,"Number of vital events by registration timeliness, year",NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_3_02,T3.2,Proportion (%) of births by year of registration and year of occurrence,Optional
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_3_04,T3.4,Birth registration completeness by year of occurrence and sex of newborn,Optional
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_3_05,T3.5,"Birth registration completeness by place of usual residence of mother and sex of newborn, year",NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_3_08,T3.8,"Adjustment of births by place of usual residence of mother and sex of newborn, year",NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_3_11,T3.11,"Redistribution of births with incomplete data on ‘age of mother’, year",NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_4_01,T4.1,Summary statistics on fertility by year of occurrence,Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,LB-1,table_4_02,T4.2,"Live births by place of occurrence and sex of newborn, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,LB-2,table_4_03,T4.3,"Live births by place of occurrence and place of usual residence of mother, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_4_04,T4.4,"Live births by age of mother and type of birth, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,LB-5,table_4_05,T4.5,"Live births by age and marital status of mother, urban areas, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,LB-5,table_4_06,T4.6,"Live births by age and marital status of mother, rural areas, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,LB-13,table_4_07,T4.7,"Live births by place of occurrence, site of delivery and attendant at birth, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,ST-2,table_4_08,T4.8,"Crude birth rate (CBR) by usual residence of mother, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_4_09,T4.9,"Age-specific fertility rates by usual residence of mother, urban areas, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_4_10,T4.10,"Age-specific fertility rates by usual residence of mother, rural areas, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,table_4_11,T4.11,"Total fertility rate (TFR) by usual residence of mother, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,ST-9,table_8_01,T8.1,"Live births, deaths, and infant and child deaths by year of occurrence, year",NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,ST-1,table_8_02,T8.2,"Live births, deaths, and infant and child deaths by place of usual residence of mother (births) or decedent (deaths), year",NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,ST-9,table_8_03,T8.3,Fertility and mortality indicators by year of occurrence,NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,ST-2,table_8_04,T8.4,"Fertility and mortality indicators by place of usual residence of mother (births and infant deaths) or decedent (other deaths), year",NA
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,figure_3_01,F3.1,Proportion (%) of live births and deaths by registration timeliness,Optional
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,figure_4_01,F4.1,Live births by year of occurrence,Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,figure_4_02,F4.2,"Live births by age of mother, year",Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,figure_4_03,F4.3,Crude birth rate by year of occurrence,Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,figure_4_04,F4.4,Age-specific fertility rates (ASFRs) by year of occurrence of birth,Priority
birth1a,Date of occurrence,Birth,Event,Direct,Date,NA,figure_4_05,F4.5,Total fertility rate by year of occurrence of birth,Priority
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_3_01,T3.1,"Number of vital events by registration timeliness, year",NA
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_3_02,T3.2,Proportion (%) of births by year of registration and year of occurrence,Optional
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_3_04,T3.4,Birth registration completeness by year of occurrence and sex of newborn,Optional
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_3_05,T3.5,"Birth registration completeness by place of usual residence of mother and sex of newborn, year",NA
